Datum,Gemeentenaam,Provincienaam,Aantal,Provincie_aantal,Aantal_yes,Provincie_aantal_yes,Datum_yes2,Aantal_y,Provincie_aantal_yes2,Aantal_yes3,Provincie_aantal_yes3,outbreak_days,high_temp_degree,low_temp_degree,hist_Gemiddeld_degree_low,hist_Gemiddeld_degree_high,Gemeenten2016_Bevolking,Gemeenten2016_Beweegrichtlijnen,Gemeenten2016_Eenzaam,Gemeenten2016_Ernstig_zeerernstigeenzaam,Gemeenten2016_Ernstigehinderspoorwegen,Gemeenten2016_Ernstigehindervliegtuigen,Gemeenten2016_Ernstigehinderwegenless_than_50km_u,Gemeenten2016_Ernstigehinderwegenmore_than_50km_u,Gemeenten2016_Gehoorbeperking,Gemeenten2016_Gezichtsbeperking,Gemeenten2016_Goed_zeergoedervarengezondheid,Gemeenten2016_Hoogrisicoopangstofdepressie,Gemeenten2016_Langdurigeziekteofaandoening,Gemeenten2016_Mantelzorger,Gemeenten2016_Mantelzorgontvangenafg12mnd_65above,Gemeenten2016_Matig_hoogrisicoopangstofdepressie,Gemeenten2016_Matig_veelregieovereigenleven,Gemeenten2016_Minstenseenbeperking,Gemeenten2016_Mobiliteitsbeperking,Gemeenten2016_Obesitas,Gemeenten2016_Overgewicht,Gemeenten2016_Roker,Gemeenten2016_Sporter,Gemeenten2016_Voldoetaanalcoholrichtlijn,Gemeenten2016_Vrijwilligerswerk,record_count,doc_record_count
2020-02-27,tilburg,noord-brabant,1,131760,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4,1,2,7,212941,48,47,13,2,3,7,4,6,7,72,9,34,15,18,51,88,18,12,17,50,26,50,39,23,667,1391
2020-02-28,diemen,noord-holland,1,83056,0.0,0.0,0,0.0,0.0,0.0,0.0,1,9,2,2,6,26840,52,46,12,3,4,6,3,4,6,76,7,33,11,13,46,90,15,10,13,46,24,52,42,24,63,97
2020-02-28,tilburg,noord-brabant,1,131760,1.0,131760.0,0,0.0,0.0,0.0,0.0,1,9,0,2,7,212941,48,47,13,2,3,7,4,6,7,72,9,34,15,18,51,88,18,12,17,50,26,50,39,23,667,1391
2020-02-29,diemen,noord-holland,3,83056,1.0,83056.0,0,0.0,0.0,0.0,0.0,2,12,2,2,6,26840,52,46,12,3,4,6,3,4,6,76,7,33,11,13,46,90,15,10,13,46,24,52,42,24,63,97
2020-02-29,delft,zuid-holland,1,109279,0.0,0.0,0,0.0,0.0,0.0,0.0,2,12,4,2,7,101034,60,51,13,0,1,4,3,3,5,76,8,34,11,13,50,90,14,10,12,45,22,56,42,26,282,664
2020-02-29,tilburg,noord-brabant,3,131760,1.0,131760.0,2020-02-27 00:00:00,1.0,131760.0,0.0,0.0,2,13,4,2,7,212941,48,47,13,2,3,7,4,6,7,72,9,34,15,18,51,88,18,12,17,50,26,50,39,23,667,1391
2020-03-01,coevorden,drenthe,1,6742,0.0,0.0,0,0.0,0.0,0.0,0.0,3,9,3,0,6,35381,46,42,9,0,2,4,2,6,6,76,6,36,14,16,37,88,18,12,17,56,22,40,40,34,97,88
2020-03-01,diemen,noord-holland,3,83056,3.0,83056.0,2020-02-28 00:00:00,1.0,83056.0,0.0,0.0,3,9,4,2,6,26840,52,46,12,3,4,6,3,4,6,76,7,33,11,13,46,90,15,10,13,46,24,52,42,24,63,97
2020-03-01,delft,zuid-holland,1,109279,1.0,109279.0,0,0.0,0.0,0.0,0.0,3,8,5,2,7,101034,60,51,13,0,1,4,3,3,5,76,8,34,11,13,50,90,14,10,12,45,22,56,42,26,282,664
2020-03-01,tilburg,noord-brabant,4,131760,3.0,131760.0,2020-02-28 00:00:00,1.0,131760.0,1.0,131760.0,3,10,4,2,8,212941,48,47,13,2,3,7,4,6,7,72,9,34,15,18,51,88,18,12,17,50,26,50,39,23,667,1391
