col_name;Key;Title;Description
"Leeftijd";"53155";"19 tot 65 jaar";""
"Leeftijd";"53160";"19 jaar of ouder";""
"Leeftijd";"80200";"65 jaar of ouder";""
"WijkenEnBuurten";"NL01      ";"Nederland";
"WijkenEnBuurten";"GM1680    ";"Aa en Hunze";
"WijkenEnBuurten";"WK168000  ";"Wijk 00 Annen";
"WijkenEnBuurten";"BU16800000";"Annen";
"WijkenEnBuurten";"BU16800009";"Verspreide huizen Annen";
"WijkenEnBuurten";"WK168001  ";"Wijk 01 Eext";
"WijkenEnBuurten";"BU16800100";"Eext";
"WijkenEnBuurten";"BU16800109";"Verspreide huizen Eext";
"WijkenEnBuurten";"WK168002  ";"Wijk 02 Anloo";
"WijkenEnBuurten";"BU16800200";"Anloo";
"WijkenEnBuurten";"BU16800209";"Verspreide huizen Anloo";
"WijkenEnBuurten";"WK168003  ";"Wijk 03 Gasteren";
"WijkenEnBuurten";"BU16800300";"Gasteren";
"WijkenEnBuurten";"BU16800309";"Verspreide huizen Gasteren";
"WijkenEnBuurten";"WK168004  ";"Wijk 04 Anderen";
"WijkenEnBuurten";"BU16800400";"Anderen";
"WijkenEnBuurten";"BU16800409";"Verspreide huizen Anderen";
"WijkenEnBuurten";"WK168005  ";"Wijk 05 Schipborg";
"WijkenEnBuurten";"BU16800500";"Schipborg";
"WijkenEnBuurten";"BU16800509";"Verspreide huizen Schipborg";
"WijkenEnBuurten";"WK168006  ";"Wijk 06 Eexterveen";
"WijkenEnBuurten";"BU16800600";"Eexterveen";
"WijkenEnBuurten";"BU16800609";"Verspreide huizen Eexterveen";
"WijkenEnBuurten";"WK168007  ";"Wijk 07 Spijkerboor";
"WijkenEnBuurten";"BU16800700";"Spijkerboor";
"WijkenEnBuurten";"BU16800709";"Verspreide huizen Spijkerboor";
"WijkenEnBuurten";"WK168008  ";"Wijk 08 Nieuw-Annerveen";
"WijkenEnBuurten";"BU16800800";"Nieuw-Annerveen";
"WijkenEnBuurten";"BU16800809";"Verspreide huizen Nieuw-Annerveen";
"WijkenEnBuurten";"WK168009  ";"Wijk 09 Oud-Annerveen";
"WijkenEnBuurten";"BU16800900";"Oud-Annerveen";
"WijkenEnBuurten";"BU16800909";"Verspreide huizen Oud-Annerveen";
"WijkenEnBuurten";"WK168011  ";"Wijk 11 Annerveenschekanaal";
"WijkenEnBuurten";"BU16801100";"Annerveenschekanaal";
"WijkenEnBuurten";"BU16801109";"Verspreide huizen Annerveenschekanaal";
"WijkenEnBuurten";"WK168012  ";"Wijk 12 Eexterveenschekanaal";
"WijkenEnBuurten";"BU16801200";"Eexterveenschekanaal";
"WijkenEnBuurten";"BU16801209";"Verspreide huizen Eexterveenschekanaal";
"WijkenEnBuurten";"WK168013  ";"Wijk 13 Eexterzandvoort";
"WijkenEnBuurten";"BU16801300";"Eexterzandvoort";
"WijkenEnBuurten";"BU16801309";"Verspreide huizen Eexterzandvoort";
"WijkenEnBuurten";"WK168014  ";"Wijk 14 Gasselte";
"WijkenEnBuurten";"BU16801400";"Gasselte";
"WijkenEnBuurten";"BU16801401";"Kostvlies";
"WijkenEnBuurten";"BU16801409";"Verspreide huizen Gasselte";
"WijkenEnBuurten";"WK168015  ";"Wijk 15 Gasselternijveen";
"WijkenEnBuurten";"BU16801500";"Gasselternijveen";
"WijkenEnBuurten";"BU16801501";"Gasselterboerveen";
"WijkenEnBuurten";"BU16801509";"Verspreide huizen Gasselternijveen";
"WijkenEnBuurten";"WK168016  ";"Wijk 16 Gasselternijveenschemond";
"WijkenEnBuurten";"BU16801600";"Gasselternijveenschemond";
"WijkenEnBuurten";"BU16801601";"Gasselterboerveenschemond";
"WijkenEnBuurten";"BU16801609";"Verspr.h. Gasselternijveenschemond";"Verspreide huizen Gasselternijveenschemond"
"WijkenEnBuurten";"WK168017  ";"Wijk 17 Gieten";
"WijkenEnBuurten";"BU16801700";"Gieten";
"WijkenEnBuurten";"BU16801709";"Verspreide huizen Gieten";
"WijkenEnBuurten";"WK168018  ";"Wijk 18 Gieterveen";
"WijkenEnBuurten";"BU16801800";"Gieterveen";
"WijkenEnBuurten";"BU16801801";"Bonnerveen";
"WijkenEnBuurten";"BU16801802";"Nieuwediep";
"WijkenEnBuurten";"BU16801809";"Verspreide huizen Gieterveen";
"WijkenEnBuurten";"WK168019  ";"Wijk 19 Rolde";
