col_name;Key;Title;Description
"Geslacht";"T001038";"Totaal mannen en vrouwen";""
"Geslacht";"3000   ";"Mannen";""
"Geslacht";"4000   ";"Vrouwen";""
"Leeftijd";"10000";"Totaal";""
"Leeftijd";"10010";"0 jaar";""
"Leeftijd";"21800";"85 jaar of ouder";""
"Leeftijd";"22000";"95 jaar of ouder";""
"Leeftijd";"35001";"1 tot 15 jaar";""
"Leeftijd";"35002";"20 tot 45 jaar";
"Leeftijd";"41400";"Jonger dan 20 jaar";""
"Leeftijd";"41700";"Jonger dan 65 jaar";""
"Leeftijd";"51300";"1 tot 5 jaar";""
"Leeftijd";"53050";"15 tot 25 jaar";
"Leeftijd";"53310";"25 tot 45 jaar";""
"Leeftijd";"53715";"45 tot 65 jaar";
"Leeftijd";"53925";"65 tot 75 jaar";""
"Leeftijd";"53975";"75 tot 85 jaar";""
"Leeftijd";"70200";"5 tot 10 jaar";""
"Leeftijd";"70300";"10 tot 15 jaar";""
"Leeftijd";"70400";"15 tot 20 jaar";""
"Leeftijd";"70500";"20 tot 25 jaar";""
"Leeftijd";"70600";"25 tot 30 jaar";""
"Leeftijd";"70700";"30 tot 35 jaar";""
"Leeftijd";"70800";"35 tot 40 jaar";""
"Leeftijd";"70900";"40 tot 45 jaar";""
"Leeftijd";"71000";"45 tot 50 jaar";""
"Leeftijd";"71100";"50 tot 55 jaar";""
"Leeftijd";"71200";"55 tot 60 jaar";""
"Leeftijd";"71300";"60 tot 65 jaar";""
"Leeftijd";"71400";"65 tot 70 jaar";""
"Leeftijd";"71500";"70 tot 75 jaar";""
"Leeftijd";"71600";"75 tot 80 jaar";""
"Leeftijd";"71700";"80 tot 85 jaar";""
"Leeftijd";"71800";"85 tot 90 jaar";""
"Leeftijd";"71900";"90 tot 95 jaar";""
"Leeftijd";"80200";"65 jaar of ouder";""
"Diagnose";"T001178";"Totaal";"ICD10 code: A00-Z99 De ziektediagnosen zijn vanaf 2015 gedefinieerd in de indeling van hoofdgroepen van ziekten volgens de tiende editie van de International Classification of Diseases (ICD10). Daarbij is zoveel als mogelijk aangesloten bij de diagnosegroepen zoals gebruikt binnen respectievelijk de WHO Global Burden of Disease study (GDB) en de Volksgezondheid Toekomst Verkenning van het RIVM (VTV).. De gebruikte ICD10 codes staan in de tabel per ziektediagnose in de beschrijving."
"Diagnose";"A010668";"Totaal infectie-, parasitaire ziekten";"ICD10 code: A00-B99"
"Diagnose";"A025508";"Infecties maag-darmkanaal";"ICD10 code: A00-A09"
