col_name;Key;Title;Description
"Geslacht";"T001038";"Totaal mannen en vrouwen";""
"Geslacht";"3000   ";"Mannen";""
"Geslacht";"4000   ";"Vrouwen";""
"Persoonskenmerken";"2017555";"Werksituatie: student";""
"Persoonskenmerken";"2018700";"Onderwijsniveau: lager onderwijs";"Het hoogst behaald onderwijsniveau is lager onderwijs."
"Persoonskenmerken";"2018730";"Onderwijsniveau: lager, lbo, mavo";"Het hoogst behaald onderwijsniveau is lager onderwijs, lbo of mavo."
"Persoonskenmerken";"2018750";"Onderwijsniveau: mbo, havo, vwo";"Het hoogst behaald onderwijsniveau is havo, vwo, mbo. Dit omvat de bovenbouw van havo/vwo, de basisberoepsopleiding (mbo-2), de vakopleiding (mbo-3) en de middenkader- en specialistenopleidingen (mbo-4)."
"Persoonskenmerken";"2018789";"Onderwijsniveau: hbo, wo";"Het hoogst behaald onderwijsniveau is hbo en wo. Dit omvat de associatie degree, de hbo- en wo-bachelors,  4-jarige hbo-opleidingen, wo-masters en wo-doctorsopleidingen."
"Persoonskenmerken";"T009002";"Totaal";""
"Persoonskenmerken";"53105  ";"Leeftijd: 18 tot 25 jaar";""
"Persoonskenmerken";"53500  ";"Leeftijd: 25 tot 35 jaar";""
"Persoonskenmerken";"53700  ";"Leeftijd: 35 tot 45 jaar";""
"Persoonskenmerken";"53800  ";"Leeftijd: 45 tot 55 jaar";""
"Persoonskenmerken";"53900  ";"Leeftijd: 55 tot 65 jaar";""
"Persoonskenmerken";"B000016";"Onderwijsniveau: lbo, mavo";"Het hoogst behaald onderwijsniveau is, lbo of mavo."
"Persoonskenmerken";"B000017";"Woonsituatie: met partner ";
"Persoonskenmerken";"B000018";"Woonsituatie: met partner met kinderen";
"Persoonskenmerken";"B000019";"Woonsituatie: met partner geen kinderen";
"Persoonskenmerken";"B000020";"Woonsituatie: zonder partner";
"Persoonskenmerken";"B000021";"Woonsituatie: alleenstaande ouder";
"Persoonskenmerken";"B000022";"Woonsituatie: alleenstaand";
"Persoonskenmerken";"B000023";"Woonsituatie: bij ouders";
"Persoonskenmerken";"B000024";"Woonsituatie: met anderen";
"Persoonskenmerken";"B000025";"Werksituatie: betaald werk";
"Persoonskenmerken";"B000026";"Werksituatie: geen betaald werk";
"Persoonskenmerken";"B000027";"Werksituatie: huisvrouw, huisman";
"Persoonskenmerken";"B000029";"Werksituatie: werkloos,arbeidsongeschikt";
"Persoonskenmerken";"B000030";"Werksituatie: gepensioneerd, anders";""
"Persoonskenmerken";"B000031";"Inkomen: laag";
"Persoonskenmerken";"B000032";"Inkomen: midden";
"Persoonskenmerken";"B000033";"Inkomen: hoog";
