col_name;Key;Title;Description
"Vaccinaties";"A028769";"DKTP basisimmuun (2 jaar)";"Difterie, kinkhoest, tetanus, poliomyelitis (D(K)TP).Vaccinatie wordt aangeboden op 2, 3, 4 en 11 maanden, 4 jaar en 9 jaar. De vaccinatiegraad wordt vastgesteld op de leeftijd van 1 jaar (DKTP-3, primaire serie, niet in deze tabel getoond), 2 jaar (DKTP-4, basisimmuun), 5 jaar (DKTP-5, gerevaccineerd of voldoende beschermd*), 10 jaar (DTP-6, volledig afgesloten). *In deze tabel wordt op vijfjarige leeftijd tot 2014 de vaccinatietoestand 'gerevaccineerd' en vanaf 2014 de toestand 'voldoende beschermd' vastgesteld. Voldoende beschermd is de som van het aantal gerevaccineerde kinderen en het aantal kinderen dat basisimmuniteit pas bereikt op de leeftijd van 2-5 jaar en daarom niet in aanmerking komt voor revaccinatie. Voldoende beschermd is een fractie hoger dan alleen gerevaccineerd en kan dus niet onderling vergeleken worden."
"Vaccinaties";"A028770";"Hib volledig (2 jaar)";"Haemophilus influenzae serotype b (Hib)-infectie (Hib).Vaccinatie wordt aangeboden op 2, 3, 4 en 11 maanden. De vaccinatiegraad wordt vastgesteld op de leeftijd van 1 jaar (Hib-3, primaire serie, niet in de tabel getoond), 2 jaar (Hib-4, volledig afgesloten)."
"Vaccinaties";"A028771";"BMR basisimmuun (2 jaar)";"Bof, mazelen, rodehond (BMR).Vaccinatie wordt aangeboden op 14 maanden en 9 jaar. De vaccinatiegraad wordt vastgesteld op de leeftijd van 2 jaar (BMR-1, basisimmuun), 10 jaar (BMR-2, volledig afgesloten)."
"Vaccinaties";"A028772";"Meningokokken C volledig (2 jaar)";"Meningokokken C-ziekte (Men C) volledig afgesloten.Vaccinatie wordt aangeboden op 14 maanden. De vaccinatiegraad wordt vastgesteld op de leeftijd van 2 jaar (Men C, volledig afgesloten)."
"Vaccinaties";"A028773";"Pneumokokken volledig (2 jaar)";"Pneumokokkenziekte (Pneu) volledig afgesloten.Vaccinatie wordt aangeboden op 2, 4 en 11 maanden. De vaccinatiegraad wordt vastgesteld op de leeftijd van 1 jaar (Pneu-2/3, primaire serie, niet in de tabel getoond), 2 jaar (Pneu-3/4, volledig afgesloten). Sinds november 2013 drie in plaats van vier vaccinaties."
"Vaccinaties";"A028774";"Hepatitis B volledig (2 jaar)";"Hepatitis B (Hep B).Vaccinatie wordt aangeboden op 2, 3, 4 en 11 maanden. De vaccinatiegraad wordt vastgesteld op de leeftijd van 2 jaar (Hep B-4, volledig afgesloten)."
"Vaccinaties";"A028775";"Volledige deelname RVP (2 jaar)";"Volledige deelname aan alle vaccinaties volgens het RVP vaccinatieschema wordt vastgesteld op de leeftijd van 2 jaar."
"Vaccinaties";"A041828";"Geen enkele vaccinatie (2 jaar)";"Geen van de vaccinaties volgens het RVP vaccinatieschema. Wordt vastgesteld op de leeftijd van 2 jaar"
"Vaccinaties";"A028776";"D(K)TP gerevaccineerd (5 jaar)";"Difterie, kinkhoest, tetanus, poliomyelitis (D(K)TP).Vaccinatie wordt aangeboden op 2, 3, 4 en 11 maanden, 4 jaar en 9 jaar. De vaccinatiegraad wordt vastgesteld op de leeftijd van 1 jaar (DKTP-3, primaire serie, niet in deze tabel getoond), 2 jaar (DKTP-4, basisimmuun), 5 jaar (DKTP-5, gerevaccineerd of voldoende beschermd*), 10 jaar (DTP-6, volledig afgesloten). *In deze tabel wordt op vijfjarige leeftijd tot 2014 de vaccinatietoestand 'gerevaccineerd' en vanaf 2014 de toestand 'voldoende beschermd' vastgesteld. Voldoende beschermd is de som van het aantal gerevaccineerde kinderen en het aantal kinderen dat basisimmuniteit pas bereikt op de leeftijd van 2-5 jaar en daarom niet in aanmerking komt voor revaccinatie. Voldoende beschermd is een fractie hoger dan alleen gerevaccineerd en kan dus niet onderling vergeleken worden."
"Vaccinaties";"A028777";"D(K)TP voldoende beschermd (5 jaar)";"Difterie, kinkhoest, tetanus, poliomyelitis (D(K)TP).Vaccinatie wordt aangeboden op 2, 3, 4 en 11 maanden, 4 jaar en 9 jaar.De vaccinatiegraad wordt vastgesteld op de leeftijd van 1 jaar (DKTP-3, primaire serie, niet in deze tabel getoond), 2 jaar (DKTP-4, basisimmuun), 5 jaar (DKTP-5, gerevaccineerd of voldoende beschermd*), 10 jaar (DTP-6, volledig afgesloten). *In deze tabel wordt op vijfjarige leeftijd tot 2014 de vaccinatietoestand 'gerevaccineerd' en vanaf 2014 de toestand 'voldoende beschermd' vastgesteld. Voldoende beschermd is de som van het aantal gerevaccineerde kinderen en het aantal kinderen dat basisimmuniteit pas bereikt op de leeftijd van 2-5 jaar en daarom niet in aanmerking komt voor revaccinatie. Voldoende beschermd is een fractie hoger dan alleen gerevaccineerd en kan dus niet onderling vergeleken worden."
