id,Gemeente,fietsgebruik2017klik,fietsgebruik2017klik_Percentage,kindmethandicap_2015,kindmethandicap_2015_Percentage,avg_Hoogrisicoopangstofdepressie_percentage,avg_Matigofhoogrisicoopangstofdepressie_percentage,avg_Beperkingeninbewegen_percentage,avg_Gehoorbeperkingen_percentage,avg_Gezichtsbeperkingen_percentage,avg_Eenofmeerbeperkingen_percentage,avg_Eenzaamheid_percentage,avg_Ernstigeeenzaamheid_percentage,avg_Goedervarengezondheid_percentage,avg_Mantelzorgers_percentage,avg_Ernstigovergewicht_percentage,avg_Mantelzorgontvangers_percentage,avg_Overgewicht_percentage,avg_Regieeigenleven_percentage,avg_Alcoholrichtlijn_percentage,Beweegrichtlijnen,bot_plus_spierversterkende_activiteiten,matig_plus_zwaar_intenstieve_activiteiten,wekelijks_sporten
965,Simpelveld,Fietsgebruik,"3,70",Kinderen met een handicap,"5,4",7.0,42.5,11.5,5.0,6.5,16.5,44.0,11.5,71.0,16.5,17.0,12.5,55.5,88.0,42.0,39,77,44,44
981,Vaals,Fietsgebruik,"6,60",Kinderen met een handicap,"2,2",7.0,45.0,11.0,5.0,7.5,16.0,49.0,13.0,69.0,15.5,16.0,12.0,54.0,87.5,40.5,41,77,46,46
899,Brunssum,Fietsgebruik,"10,50",Kinderen met een handicap,"3,3",10.4,50.0,16.6,7.2,8.8,23.2,50.4,13.6,64.0,15.6,19.6,14.8,58.6,85.2,45.2,38,75,43,43
951,Nuth,Fietsgebruik,"10,70",Kinderen met een handicap,"2,5",5.75,40.5,10.5,5.25,6.0,15.75,43.5,10.0,72.75,17.0,15.5,12.5,53.5,88.75,39.75,43,79,48,51
928,Kerkrade,Fietsgebruik,"10,80",Kinderen met een handicap,"3,9",11.0,50.333333333333336,16.333333333333332,6.333333333333333,9.333333333333334,22.666666666666668,52.666666666666664,15.0,63.666666666666664,14.666666666666666,19.333333333333332,13.666666666666666,57.666666666666664,84.33333333333333,47.333333333333336,36,74,41,36
882,Landgraaf,Fietsgebruik,"12,50",Kinderen met een handicap,"3,5",9.333333333333334,46.0,15.333333333333334,6.0,7.666666666666667,20.666666666666668,49.333333333333336,13.333333333333334,66.0,15.666666666666666,18.666666666666668,12.333333333333334,56.0,85.66666666666667,45.666666666666664,40,76,46,42
917,Heerlen,Fietsgebruik,"12,80",Kinderen met een handicap,"4,0",10.869565217391303,49.347826086956516,15.652173913043477,6.3478260869565215,8.391304347826086,21.913043478260875,51.91304347826086,15.086956521739129,64.78260869565217,14.913043478260866,18.1304347826087,13.130434782608695,55.04347826086957,84.95652173913045,45.21739130434783,39,74,45,41
994,Valkenburg aan de Geul,Fietsgebruik,"13,10",Kinderen met een handicap,"2,7",5.5,39.5,9.666666666666668,4.5,5.5,15.0,44.0,10.666666666666666,72.83333333333333,17.166666666666668,14.666666666666666,11.666666666666666,51.16666666666667,89.33333333333334,38.166666666666664,44,78,49,44
1729,Gulpen-Wittem,Fietsgebruik,"13,60",Kinderen met een handicap,"2,4",5.428571428571429,40.0,9.285714285714286,4.571428571428572,5.857142857142857,14.571428571428571,43.285714285714285,9.714285714285715,73.42857142857142,17.000000000000004,14.714285714285714,10.571428571428571,52.0,89.0,38.857142857142854,37,78,43,42
971,Stein,Fietsgebruik,"14,70",Kinderen met een handicap,"3,4",6.666666666666667,43.333333333333336,11.666666666666666,5.666666666666667,6.0,17.0,46.333333333333336,11.0,69.66666666666667,17.0,16.666666666666668,12.0,54.666666666666664,87.66666666666667,41.0,47,79,54,48
