address,postcode,city,tel,web,remark,organization_name,healthCare_type,link
" Rembrandtplein 6",5854 EM,Bergen,088-4782200,http://www.centiv.nl,/psycholoog-bergen Locatie Deze locatie is onderdeel van Centiv,"Centiv Maasoever, locatie Bergen",GGZ,https://www.zorgkaartnederland.nl/zorginstelling/ggz-centiv-maasoever-locatie-bergen-bergen-3058083
" Vlammertsehof 1",5854 DA,Bergen,088-6101755,https://www.dezorggroep.nl," Locatie Deze locatie is onderdeel van Groene Kruis Wijkverpleging","Groene Kruis Wijkverpleging, Team Bergen Afferden",Thuiszorg,https://www.zorgkaartnederland.nl/zorginstelling/thuiszorg-groene-kruis-wijkverpleging-team-bergen-afferden-bergen-3063905
" Vlammertsehof 1",5854 DA,Bergen,088-6101755,https://www.dezorggroep.nl," Locatie Deze locatie is onderdeel van Groene Kruis Wijkverpleging","Groene Kruis Wijkverpleging, Team Bergen Siebengewald",Thuiszorg,https://www.zorgkaartnederland.nl/zorginstelling/thuiszorg-groene-kruis-wijkverpleging-team-bergen-siebengewald-bergen-3063906
" Vlammertsehof 1",5854 DA,Bergen,077-3739253,http://www.dezorggroep.nl," Locatie Deze locatie is onderdeel van De Zorggroep, Groene Kruis Voeding en Dieet","De Zorggroep, Groene Kruis Voeding en Dieet Bergen",Diëtistenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/dietistenpraktijk-de-zorggroep-groene-kruis-voeding-en-dieet-bergen-bergen-3053422
" Renbaanlaan 1",1861 CX,Bergen,072-5812059,https://www.tcn.nl,/tandarts-bergen Locatie Deze locatie is onderdeel van Tandheelkundig Centrum Nederland,Tandheelkundig Centrum Nederland Bergen Centre Ville,Tandartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-tandheelkundig-centrum-nederland-bergen-bergen-3042956
" Nassaulaan 24",1862 EJ,Bergen,0226-392062,http://www.duinendijk.nl," Locatie Deze locatie is onderdeel van Verloskundigenpraktijk Duin en Dijk","Verloskundigenpraktijk Duin en Dijk, locatie Bergen",Verloskundepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/verloskundepraktijk-verloskundigenpraktijk-duin-en-dijk-locatie-bergen-bergen-3059103
" Rembrandtplein 10",5854 EM,Bergen,06-22698146,http://ergotherapiepraktijkdomi.nl,/ Locatie Deze locatie is onderdeel van Ergotherapiepraktijk Domi,"Ergotherapiepraktijk Domi, locatie Bergen",Ergotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/ergotherapiepraktijk-ergotherapiepraktijk-domi-locatie-bergen-bergen-10006500
" Keulerstraat 30 A",5854 BZ,Bergen,085-0530033,https://www.podotherapiehermanns.nl," Locatie Deze locatie is onderdeel van Podotherapie Hermanns",Podotherapie Hermanns Bergen,Podotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/podotherapiepraktijk-podotherapie-hermanns-bergen-bergen-3060148
" Pieter Breughelstraat 79-81",5854 EB,Bergen,077-3517962,http://martensfysiotherapie.nl," Locatie Deze locatie is onderdeel van Martens Fysiotherapie","Martens Fysiotherapie, locatie Nieuw Bergen",Fysiotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-martens-fysiotherapie-dependance-nieuw-bergen-bergen-3036641
" Vlammertsehof 1",5854 DA,Bergen,088-6108861,http://www.dezorggroep.nl," Locatie Deze locatie is onderdeel van De Zorggroep","De Zorggroep, Maasduinen Staete",Verpleeghuis en verzorgingshuis,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-de-zorggroep-maasduinen-staete-bergen-3058773
" Molenweidtje 1",1862 BC,Bergen,072-5753130,http://www.magentazorg.nl," Locatie Deze locatie is onderdeel van Magentazorg",Magentazorg - Oudtburgh,Verpleeghuis en verzorgingshuis,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-magentazorg-oudtburgh-bergen-14742
" Beemsterlaan 6",1861 LH,Bergen,072-5821100,http://www.magentazorg.nl," Locatie Deze locatie is onderdeel van Magentazorg",Magentazorg - De Haemstede,Verpleeghuis en verzorgingshuis,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-magentazorg-de-haemstede-bergen-12891
" Saenehof 1",1862 JA,Bergen,088-9958800,http://www.vivazorggroep.nl," Locatie Deze locatie is onderdeel van ViVa! Zorggroep","ViVa! Zorggroep, locatie De Marke",Verpleeghuis en verzorgingshuis,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-viva-zorggroep-locatie-de-nieuwe-marke-bergen-12892
" Persijnhof 5",1862 DK,Bergen,0800-0830,http://www.philadelphia.nl," Locatie Deze locatie is onderdeel van Philadelphia Zorg Noordwest","Philadelphia Zorg Noordwest, Woonlocatie Persijnhof",Woonvoorziening voor verstandelijk gehandicapten,https://www.zorgkaartnederland.nl/zorginstelling/woonvoorziening-voor-verstandelijk-gehandicapten-philadelphia-zorg-noordwest-woonlocatie-persijnhof-bergen-3040236
" Breelaan 89 D",1861 GD,Bergen,0800-0830,http://www.philadelphia.nl," Locatie Deze locatie is onderdeel van Philadelphia Zorg Noordwest","Philadelphia Zorg Noordwest, Woonlocatie Wittenburg",Woonvoorziening voor verstandelijk gehandicapten,https://www.zorgkaartnederland.nl/zorginstelling/woonvoorziening-voor-verstandelijk-gehandicapten-philadelphia-zorg-noordwest-woonlocatie-wittenburg-bergen-3040238
" Zakedijkje 9",1862 HA,Bergen,0800-0830,http://www.philadelphia.nl," Locatie Deze locatie is onderdeel van Philadelphia Zorg Noordwest","Philadelphia Zorg Noordwest, Woonlocatie Zakedijkje",Woonvoorziening voor verstandelijk gehandicapten,https://www.zorgkaartnederland.nl/zorginstelling/woonvoorziening-voor-verstandelijk-gehandicapten-philadelphia-zorg-noordwest-woonlocatie-zakedijkje-bergen-3040237
" Gasweg 5",1861 TH,Bergen,072-5812570,http://www.esdege-reigersdaal.nl," Locatie Deze locatie is onderdeel van Esdégé-Reigersdaal","Esdégé-Reigersdaal, Woonvoorziening Zonneheuvel",Woonvoorziening voor verstandelijk gehandicapten,https://www.zorgkaartnederland.nl/zorginstelling/woonvoorziening-voor-verstandelijk-gehandicapten-esdege-reigersdaal-woonvoorziening-zonneheuvel-bergen-7797
" Raadhuisstraat 4",1861 KS,Bergen,06-51597591,,,Buurtzorg Bergen (NH),Thuiszorg,https://www.zorgkaartnederland.nl/zorginstelling/thuiszorg-buurtzorg-bergen-nh-bergen-3045587
" Rembrandtplein 10",5854 EM,Bergen,06-13116322,,,Buurtzorg Bergen (L),Thuiszorg,https://www.zorgkaartnederland.nl/zorginstelling/thuiszorg-buurtzorg-bergen-l-bergen-3037429
" Postbus 48",1860 AA,Bergen,06-51961979,,,Stichting Particuliere Thuiszorg Bergen,Thuiszorg,https://www.zorgkaartnederland.nl/zorginstelling/thuiszorg-stichting-particuliere-thuiszorg-bergen-bergen-3047946
" Ruinelaan 20",1861 LL,Bergen,,,,Logopediepraktijk De Wingerd,Logopediepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/logopediepraktijk-logopediepraktijk-de-wingerd-bergen-3046451
" Binnenhof 5",1861 JW,Bergen,072-5897100,,,Tandartsenpraktijk Glaudé,Tandartsenpraktijk,https://www.zorgkaartnederland.nl/zorginstelling/tandartsenpraktijk-tandartsenpraktijk-glaude-bergen-3046599
" Buerweg 14",1861 CJ,Bergen,,,,Praktijk voor Psychiatrie N. van Loenen,Psychiatriepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/psychiatriepraktijk-praktijk-voor-psychiatrie-n-van-loenen-bergen-3048073
" Buerweg 14",1861 CJ,Bergen,,,,Praktijk voor Psychiatrie N. van Loenen,Psychiatriepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/psychiatriepraktijk-praktijk-voor-psychiatrie-n-van-loenen-bergen-3048073
" Buerweg 14",1861 CJ,Bergen,,,,Praktijk voor Psychiatrie N. van Loenen,Psychiatriepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/psychiatriepraktijk-praktijk-voor-psychiatrie-n-van-loenen-bergen-3048073
" Buerweg 14",1861 CJ,Bergen,,,,Praktijk voor Psychiatrie N. van Loenen,Psychiatriepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/psychiatriepraktijk-praktijk-voor-psychiatrie-n-van-loenen-bergen-3048073
" Binnenhof 6",1861 JW,Bergen,072-5812419,,,Binnenhof Fysiotherapie,Fysiotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-fysiotherapie-binnenhof-bergen-3032279
" Oosterweg 1",1862 KB,Bergen,,,,Fysiotherapie Nassau Ellis Cleven,Fysiotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/fysiotherapiepraktijk-fysiotherapie-nassau-ellis-cleven-bergen-3037739
" Prins Hendriklaan 30",1862 EL,Bergen,072-5896100,,,Medisch Centrum Acupunctuur,Artsenpraktijk voor alternatieve geneeskunde,https://www.zorgkaartnederland.nl/zorginstelling/artsenpraktijk-voor-alternatieve-geneeskunde-medisch-centrum-acupunctuur-bergen-241226
" Prins Hendriklaan 30",1862 EL,Bergen,072-5896100,,,Medisch Centrum Acupunctuur,Artsenpraktijk voor alternatieve geneeskunde,https://www.zorgkaartnederland.nl/zorginstelling/artsenpraktijk-voor-alternatieve-geneeskunde-medisch-centrum-acupunctuur-bergen-241226
" Prins Hendriklaan 30",1862 EL,Bergen,072-5896100,,,Medisch Centrum Acupunctuur,Artsenpraktijk voor alternatieve geneeskunde,https://www.zorgkaartnederland.nl/zorginstelling/artsenpraktijk-voor-alternatieve-geneeskunde-medisch-centrum-acupunctuur-bergen-241226
" Prins Hendriklaan 30",1862 EL,Bergen,072-5896100,,,Medisch Centrum Acupunctuur,Artsenpraktijk voor alternatieve geneeskunde,https://www.zorgkaartnederland.nl/zorginstelling/artsenpraktijk-voor-alternatieve-geneeskunde-medisch-centrum-acupunctuur-bergen-241226
" Binnenhof 9",1861 JW,Bergen,,,,Praktijk Redeker,Psychologiepraktijk en psychotherapiepraktijk,https://www.zorgkaartnederland.nl/zorginstelling/psychologiepraktijk-en-psychotherapiepraktijk-praktijk-redeker-bergen-3038313
